y,x
429,40
429,41
430,38
430,39
430,40
431,37
431,38
432,36
432,37
433,34
433,35
433,36
434,32
434,33
434,34
435,31
435,32
436,29
436,30
436,31
437,28
437,29
438,26
438,27
438,28
439,25
439,26
440,24
440,25
441,22
441,23
441,24
442,21
442,22
443,19
443,20
443,21
444,18
444,19
445,16
445,17
445,18
446,15
446,16
447,14
447,15
448,12
448,13
448,14
449,10
449,11
449,12
450,9
450,10
451,8
451,9
452,6
452,7
452,8
453,5
453,6
454,3
454,4
454,5
455,2
455,3
456,0
456,1
456,2
